,city,country,temp,latitude,longitude,cloudiness,humidity,wind speed
365,Cobija,BO,73.98,-11.03,-68.77,0,68,2.19
366,Miraflores,MX,64.18,19.22,-98.81,90,63,10.29
367,Fort-Shevchenko,KZ,87.71,44.51,50.26,62,41,5.95
368,Sonqor,IR,77.0,34.78,47.6,40,20,3.98
369,Ilo,PE,58.51,-17.64,-71.34,95,77,3.2
370,La Santisima Trinidad,BO,74.39,-14.83,-64.9,14,67,1.48
371,Casablanca,MA,72.55,33.59,-7.62,40,88,3.36
372,Batamshinskiy,KZ,73.4,50.56,58.27,29,56,8.95
373,Saint-Joseph,RE,55.15,-21.37,55.62,90,63,6.93
374,Darnah,LY,73.71,32.77,22.64,0,80,19.35
375,Wanning,CN,88.72,18.8,110.4,24,64,9.91
376,Sanming,CN,97.65,26.25,117.62,79,45,2.66
377,Stroud,GB,48.67,51.75,-2.2,6,75,3.76
378,Baoqing,CN,80.33,46.33,132.21,0,54,1.99
379,Srednekolymsk,RU,83.3,67.45,153.68,23,28,13.38
380,Harar,ET,56.73,9.31,42.13,100,95,5.17
381,Ribeira Brava,PT,66.34,32.65,-17.07,40,77,11.41
382,Rāzampeta,IN,82.4,14.18,79.17,20,78,4.7
383,Kuril'sk,RU,60.67,45.23,147.88,100,84,0.92
384,Rio Grande,BR,64.99,-32.03,-52.1,100,85,9.06
385,Matagami,CA,53.6,49.75,-77.63,75,93,4.38
386,Nhulunbuy,AU,80.6,-12.23,136.77,75,65,13.87
387,Maku,IR,81.5,39.29,44.45,0,37,1.86
389,Christchurch,NZ,61.66,-43.53,172.63,13,41,9.17
390,Arman',RU,65.93,59.7,150.17,0,55,6.58
391,Dumfries,US,77.94,38.57,-77.33,1,69,5.55
392,Deputatsky,RU,79.84,69.3,139.9,84,44,10.18
393,Preobrazheniye,RU,74.46,42.9,133.91,100,73,2.64
394,West Bay,KY,81.0,19.37,-81.42,77,86,12.55
395,Price,US,82.4,39.6,-110.81,1,20,8.05
396,Tanabe,JP,84.2,33.73,135.37,75,79,6.93
397,Lorengau,PG,85.95,-2.02,147.27,63,64,8.9
398,Zabul Province,AF,80.91,32.25,67.25,0,16,16.11
399,Cidreira,BR,65.25,-30.18,-50.21,66,83,4.81
400,São Desidério,BR,63.55,-12.36,-44.97,9,70,4.07
401,Yacuiba,BO,70.48,-22.04,-63.68,16,67,4.21
402,Port Augusta,AU,57.79,-32.5,137.77,100,58,9.17
403,Aquiraz,BR,73.4,-3.9,-38.39,75,94,8.05
404,Ossora,RU,56.26,59.24,163.07,0,61,12.57
405,Constantine,DZ,68.0,36.37,6.61,0,64,1.9
406,Waipawa,NZ,51.89,-41.41,175.52,100,85,6.91
407,Colares,PT,77.94,38.8,-9.45,20,50,11.41
408,Bandarbeyla,SO,81.1,9.49,50.81,95,52,32.95
409,Imbituba,BR,66.2,-28.24,-48.67,4,93,9.17
410,Kontagora,NG,70.68,10.4,5.47,79,96,5.03
411,Hobyo,SO,78.6,5.35,48.53,91,68,25.57
412,Avera,US,79.12,33.19,-82.53,1,67,3.36
413,Fort Nelson,CA,66.2,58.81,-122.7,75,72,5.82
414,Praxédis Guerrero,MX,81.25,31.37,-106.02,90,42,13.87
415,Mehamn,NO,55.4,71.04,27.85,96,93,2.24
416,Svolvær,NO,52.0,68.23,14.57,100,92,3.0
417,Ouégoa,NC,71.74,-20.35,164.43,72,55,3.53
418,Bolhrad,UA,65.41,45.68,28.61,0,88,12.75
419,Lavaca,US,82.47,28.61,-96.63,1,83,11.41
420,Broken Hill,AU,55.49,-31.95,141.43,92,48,11.95
421,Krasnooktyabrskiy,RU,68.5,44.93,38.37,88,94,1.01
422,Seoul,KR,81.14,37.57,126.98,75,61,2.98
423,Shingū,JP,84.2,33.73,135.98,75,79,6.93
424,Saldanha,ZA,44.6,-33.01,17.94,0,87,3.36
425,Jambi City,ID,88.59,-1.6,103.62,70,61,3.29
426,Nouadhibou,MR,73.4,20.93,-17.03,39,83,3.0
427,Doba,TD,70.65,8.65,16.85,96,94,2.24
428,São João do Piauí,BR,73.29,-8.36,-42.25,33,54,6.98
429,Pisco,PE,56.08,-13.7,-76.22,0,87,4.7
430,Villarrica,PY,66.76,-25.75,-56.43,91,67,5.57
431,Delray Beach,US,82.76,26.46,-80.07,75,74,5.82
432,Tautira,PF,80.6,-17.73,-149.15,20,65,6.93
433,Ninghai,CN,91.0,29.29,121.42,100,70,4.47
434,Port Hedland,AU,80.6,-20.32,118.57,0,21,14.99
435,Mbandaka,CD,68.47,0.05,18.26,50,90,2.98
436,Martapura,ID,87.8,-3.42,114.85,9,58,8.05
437,Sokone,SN,76.59,13.88,-16.37,40,94,8.7
438,Priyutovo,RU,66.33,53.9,53.93,7,76,2.77
439,Strezhevoy,RU,64.4,60.73,77.59,1,63,8.95
440,La Ronge,CA,66.2,55.1,-105.28,75,68,4.97
441,Bagdarin,RU,63.46,54.43,113.6,97,45,9.93
442,Pitimbu,BR,74.7,-7.47,-34.81,17,80,15.43
443,Esim,GH,74.89,4.87,-2.24,94,92,4.7
444,Turukhansk,RU,51.87,65.82,87.98,100,81,8.79
445,Nemuro,JP,78.8,43.32,145.57,75,61,6.93
446,Kosonsoy,UZ,82.4,41.26,71.55,32,30,5.68
447,Aripuanã,BR,72.91,-9.17,-60.63,92,59,2.28
448,Faanui,PF,77.61,-16.48,-151.75,35,82,25.23
449,Vanimo,PG,86.2,-2.67,141.3,43,65,8.86
